window_start_utc,window_end_utc,ppa,utc_measurement,utc_arrival,delta_ms,value,flags
2026-02-04 16:11:10.000,2026-02-04 16:11:20.000,2423,2026-02-04 16:11:20.240,2026-02-04 16:11:16.274,-3965.019,50.006256103515625,0
2026-02-04 16:11:10.000,2026-02-04 16:11:20.000,477,2026-02-04 16:11:20.333,2026-02-04 16:11:16.275,-4057.356,60.045982360839844,0
2026-02-04 16:11:10.000,2026-02-04 16:11:20.000,477,2026-02-04 16:11:20.350,2026-02-04 16:11:16.292,-4057.502,60.04697036743164,0
2026-02-04 16:11:10.000,2026-02-04 16:11:20.000,2423,2026-02-04 16:11:20.259,2026-02-04 16:11:16.295,-3964.989,50.00470733642578,0
2026-02-04 16:11:10.000,2026-02-04 16:11:20.000,477,2026-02-04 16:11:20.366,2026-02-04 16:11:16.309,-4057.605,60.047119140625,0
2026-02-04 16:11:10.000,2026-02-04 16:11:20.000,2423,2026-02-04 16:11:20.280,2026-02-04 16:11:16.315,-3964.825,50.00254440307617,0
2026-02-04 16:11:10.000,2026-02-04 16:11:20.000,477,2026-02-04 16:11:20.383,2026-02-04 16:11:16.326,-4057.162,60.046165466308594,0
2026-02-04 16:11:10.000,2026-02-04 16:11:20.000,2423,2026-02-04 16:11:20.300,2026-02-04 16:11:16.336,-3963.832,50.00379180908203,0
2026-02-04 16:11:10.000,2026-02-04 16:11:20.000,477,2026-02-04 16:11:20.400,2026-02-04 16:11:16.342,-4057.828,60.045196533203125,0
2026-02-04 16:11:10.000,2026-02-04 16:11:20.000,2423,2026-02-04 16:11:20.320,2026-02-04 16:11:16.355,-3964.827,50.00528335571289,0
2026-02-04 16:11:10.000,2026-02-04 16:11:20.000,477,2026-02-04 16:11:20.416,2026-02-04 16:11:16.360,-4056.490,60.04512023925781,0
2026-02-04 16:11:10.000,2026-02-04 16:11:20.000,2423,2026-02-04 16:11:20.339,2026-02-04 16:11:16.375,-3964.816,50.00492477416992,0
2026-02-04 16:11:10.000,2026-02-04 16:11:20.000,477,2026-02-04 16:11:20.433,2026-02-04 16:11:16.375,-4058.151,60.04561233520508,0
2026-02-04 16:11:10.000,2026-02-04 16:11:20.000,477,2026-02-04 16:11:20.450,2026-02-04 16:11:16.393,-4056.826,60.04560089111328,0
2026-02-04 16:11:10.000,2026-02-04 16:11:20.000,2423,2026-02-04 16:11:20.360,2026-02-04 16:11:16.395,-3964.823,50.004371643066406,0
