window_start_utc,window_end_utc,ppa,utc_measurement,utc_arrival,delta_ms,value,flags
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,477,2026-02-04 18:57:44.099,2026-02-04 18:57:40.004,-4095.621,59.97881317138672,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2108,2026-02-04 18:57:44.099,2026-02-04 18:57:40.012,-4087.623,59.97722244262695,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2423,2026-02-04 18:57:44.019,2026-02-04 18:57:40.018,-4001.109,50.039955139160156,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,477,2026-02-04 18:57:44.116,2026-02-04 18:57:40.021,-4094.786,59.97869110107422,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2108,2026-02-04 18:57:44.116,2026-02-04 18:57:40.030,-4086.275,59.97953414916992,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2423,2026-02-04 18:57:44.040,2026-02-04 18:57:40.038,-4001.443,50.03757858276367,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,477,2026-02-04 18:57:44.133,2026-02-04 18:57:40.038,-4094.779,59.978179931640625,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2108,2026-02-04 18:57:44.133,2026-02-04 18:57:40.046,-4087.261,59.979366302490234,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,477,2026-02-04 18:57:44.150,2026-02-04 18:57:40.060,-4089.405,59.9782600402832,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2423,2026-02-04 18:57:44.060,2026-02-04 18:57:40.060,-3999.413,50.037994384765625,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2108,2026-02-04 18:57:44.150,2026-02-04 18:57:40.061,-4088.407,59.97628402709961,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,477,2026-02-04 18:57:44.166,2026-02-04 18:57:40.071,-4095.617,59.97859191894531,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2423,2026-02-04 18:57:44.080,2026-02-04 18:57:40.077,-4002.428,50.04039001464844,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2108,2026-02-04 18:57:44.166,2026-02-04 18:57:40.079,-4087.100,59.976253509521484,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,477,2026-02-04 18:57:44.183,2026-02-04 18:57:40.087,-4095.428,59.97789001464844,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2108,2026-02-04 18:57:44.183,2026-02-04 18:57:40.097,-4085.340,59.978885650634766,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2423,2026-02-04 18:57:44.099,2026-02-04 18:57:40.098,-4001.000,50.04099655151367,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,477,2026-02-04 18:57:44.200,2026-02-04 18:57:40.107,-4092.921,59.977386474609375,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2108,2026-02-04 18:57:44.200,2026-02-04 18:57:40.118,-4081.181,59.97837829589844,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2423,2026-02-04 18:57:44.120,2026-02-04 18:57:40.119,-4000.638,50.03788375854492,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,477,2026-02-04 18:57:44.216,2026-02-04 18:57:40.122,-4094.655,59.97770309448242,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2108,2026-02-04 18:57:44.216,2026-02-04 18:57:40.138,-4078.045,59.97671127319336,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2423,2026-02-04 18:57:44.140,2026-02-04 18:57:40.139,-4000.321,50.03694534301758,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,477,2026-02-04 18:57:44.233,2026-02-04 18:57:40.139,-4093.642,59.97774124145508,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2108,2026-02-04 18:57:44.233,2026-02-04 18:57:40.158,-4074.782,59.97662353515625,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,477,2026-02-04 18:57:44.250,2026-02-04 18:57:40.159,-4090.454,59.97744369506836,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2423,2026-02-04 18:57:44.160,2026-02-04 18:57:40.159,-4000.454,50.040287017822266,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2108,2026-02-04 18:57:44.250,2026-02-04 18:57:40.162,-4087.455,59.97697448730469,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,477,2026-02-04 18:57:44.266,2026-02-04 18:57:40.171,-4095.011,59.97762680053711,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2423,2026-02-04 18:57:44.179,2026-02-04 18:57:40.178,-4001.825,50.042022705078125,0
2026-02-04 18:57:40.000,2026-02-04 18:57:50.000,2108,2026-02-04 18:57:44.266,2026-02-04 18:57:40.179,-4087.497,59.97917556762695,0
