window_start_utc,window_end_utc,ppa,utc_measurement,utc_arrival,delta_ms,value,flags
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.099,2026-02-04 18:58:10.004,-4095.482,60.02607345581055,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.099,2026-02-04 18:58:10.030,-4069.454,60.02684020996094,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.019,2026-02-04 18:58:10.031,-3988.455,50.021366119384766,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.116,2026-02-04 18:58:10.031,-4085.135,60.026119232177734,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.116,2026-02-04 18:58:10.031,-4085.135,60.02227783203125,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.040,2026-02-04 18:58:10.042,-3997.952,50.018550872802734,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.133,2026-02-04 18:58:10.042,-4091.288,60.02573776245117,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.133,2026-02-04 18:58:10.045,-4088.040,60.02257537841797,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.150,2026-02-04 18:58:10.054,-4095.192,60.025489807128906,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.060,2026-02-04 18:58:10.057,-4002.202,50.02021789550781,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.150,2026-02-04 18:58:10.061,-4088.195,60.02914810180664,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.166,2026-02-04 18:58:10.071,-4094.839,60.02554702758789,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.080,2026-02-04 18:58:10.078,-4001.654,50.022865295410156,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.166,2026-02-04 18:58:10.079,-4087.325,60.02967834472656,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.183,2026-02-04 18:58:10.087,-4095.477,60.026092529296875,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.183,2026-02-04 18:58:10.095,-4087.413,60.02655792236328,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.099,2026-02-04 18:58:10.097,-4002.063,50.020687103271484,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.200,2026-02-04 18:58:10.105,-4094.998,60.0268669128418,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.200,2026-02-04 18:58:10.112,-4087.996,60.024986267089844,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.120,2026-02-04 18:58:10.118,-4001.566,50.01900863647461,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.216,2026-02-04 18:58:10.121,-4095.229,60.026641845703125,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.216,2026-02-04 18:58:10.128,-4087.719,60.02449417114258,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.140,2026-02-04 18:58:10.138,-4001.739,50.02124786376953,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.233,2026-02-04 18:58:10.138,-4095.059,60.02579116821289,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.233,2026-02-04 18:58:10.145,-4087.980,60.02619934082031,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.250,2026-02-04 18:58:10.154,-4095.311,60.0261116027832,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.160,2026-02-04 18:58:10.157,-4002.311,50.020748138427734,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.250,2026-02-04 18:58:10.161,-4088.311,60.02738571166992,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.266,2026-02-04 18:58:10.171,-4094.949,60.02712631225586,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.179,2026-02-04 18:58:10.178,-4001.525,50.01791763305664,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.266,2026-02-04 18:58:10.179,-4087.198,60.022857666015625,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.283,2026-02-04 18:58:10.187,-4095.353,60.027259826660156,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.283,2026-02-04 18:58:10.195,-4087.330,60.02132034301758,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.200,2026-02-04 18:58:10.197,-4002.002,50.01841354370117,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.300,2026-02-04 18:58:10.205,-4094.862,60.02653884887695,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.300,2026-02-04 18:58:10.212,-4087.863,60.02684020996094,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.220,2026-02-04 18:58:10.218,-4001.572,50.020816802978516,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.316,2026-02-04 18:58:10.221,-4095.235,60.0262565612793,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.316,2026-02-04 18:58:10.228,-4087.716,60.03053283691406,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.333,2026-02-04 18:58:10.249,-4084.262,60.02625274658203,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.240,2026-02-04 18:58:10.250,-3989.927,50.02043533325195,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.333,2026-02-04 18:58:10.250,-4083.263,60.02928161621094,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.350,2026-02-04 18:58:10.254,-4095.419,60.02602005004883,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.259,2026-02-04 18:58:10.257,-4002.411,50.01884460449219,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.350,2026-02-04 18:58:10.261,-4088.418,60.02543640136719,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.366,2026-02-04 18:58:10.271,-4095.578,60.026004791259766,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.280,2026-02-04 18:58:10.280,-3999.829,50.02012252807617,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.366,2026-02-04 18:58:10.280,-4086.501,60.0252685546875,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.383,2026-02-04 18:58:10.295,-4087.543,60.02619171142578,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.383,2026-02-04 18:58:10.303,-4080.038,60.027278900146484,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.300,2026-02-04 18:58:10.304,-3995.701,50.021724700927734,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.400,2026-02-04 18:58:10.307,-4092.686,60.026336669921875,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.400,2026-02-04 18:58:10.325,-4074.655,60.02680969238281,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.320,2026-02-04 18:58:10.326,-3993.661,50.02095031738281,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.416,2026-02-04 18:58:10.326,-4090.325,60.02680969238281,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.416,2026-02-04 18:58:10.329,-4087.324,60.02587890625,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.433,2026-02-04 18:58:10.339,-4093.926,60.02717971801758,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.339,2026-02-04 18:58:10.339,-4000.590,50.01859664916992,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.433,2026-02-04 18:58:10.345,-4087.407,60.02471923828125,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.450,2026-02-04 18:58:10.354,-4095.566,60.02664566040039,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.360,2026-02-04 18:58:10.358,-4001.564,50.01850128173828,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.450,2026-02-04 18:58:10.361,-4088.565,60.02450942993164,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.466,2026-02-04 18:58:10.372,-4094.622,60.02622604370117,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.380,2026-02-04 18:58:10.380,-3999.445,50.02083969116211,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.466,2026-02-04 18:58:10.380,-4086.101,60.026458740234375,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.483,2026-02-04 18:58:10.395,-4087.738,60.02623748779297,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.483,2026-02-04 18:58:10.396,-4086.735,60.02766799926758,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.400,2026-02-04 18:58:10.401,-3998.408,50.02153396606445,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.499,2026-02-04 18:58:10.410,-4089.882,60.02578353881836,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.499,2026-02-04 18:58:10.412,-4087.886,60.025909423828125,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.419,2026-02-04 18:58:10.418,-4001.694,50.02147674560547,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.516,2026-02-04 18:58:10.422,-4094.373,60.02577590942383,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.516,2026-02-04 18:58:10.429,-4087.319,60.02505111694336,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.440,2026-02-04 18:58:10.438,-4001.550,50.02018737792969,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.533,2026-02-04 18:58:10.438,-4094.886,60.02634811401367,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.533,2026-02-04 18:58:10.445,-4087.375,60.02618408203125,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.550,2026-02-04 18:58:10.454,-4095.531,60.02732849121094,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.460,2026-02-04 18:58:10.458,-4001.538,50.019378662109375,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.550,2026-02-04 18:58:10.461,-4088.531,60.027076721191406,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.566,2026-02-04 18:58:10.470,-4095.686,60.0278434753418,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.480,2026-02-04 18:58:10.477,-4002.582,50.0208625793457,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.566,2026-02-04 18:58:10.478,-4088.253,60.02675247192383,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.583,2026-02-04 18:58:10.487,-4095.403,60.02705383300781,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.583,2026-02-04 18:58:10.496,-4087.151,60.02519226074219,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.499,2026-02-04 18:58:10.498,-4001.807,50.019676208496094,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.600,2026-02-04 18:58:10.504,-4095.740,60.02649688720703,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.600,2026-02-04 18:58:10.512,-4087.739,60.02727127075195,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.520,2026-02-04 18:58:10.518,-4001.601,50.017845153808594,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.616,2026-02-04 18:58:10.521,-4095.264,60.026756286621094,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.616,2026-02-04 18:58:10.529,-4087.312,60.029815673828125,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.633,2026-02-04 18:58:10.537,-4095.529,60.026702880859375,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.540,2026-02-04 18:58:10.538,-4001.209,50.018165588378906,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.633,2026-02-04 18:58:10.545,-4087.429,60.02791213989258,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.650,2026-02-04 18:58:10.555,-4094.948,60.02645492553711,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.560,2026-02-04 18:58:10.557,-4002.386,50.01958465576172,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2108,2026-02-04 18:58:14.650,2026-02-04 18:58:10.561,-4088.391,60.025062561035156,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,477,2026-02-04 18:58:14.666,2026-02-04 18:58:10.571,-4095.540,60.02690887451172,0
2026-02-04 18:58:10.000,2026-02-04 18:58:20.000,2423,2026-02-04 18:58:14.579,2026-02-04 18:58:10.577,-4002.249,50.0201530456543,0
