window_start_utc,window_end_utc,ppa,utc_measurement,utc_arrival,delta_ms,value,flags
2026-02-04 18:56:40.000,2026-02-04 18:56:50.000,2108,2026-02-04 18:56:44.099,2026-02-04 18:56:40.013,-4086.784,60.033443450927734,0
2026-02-04 18:56:40.000,2026-02-04 18:56:50.000,2108,2026-02-04 18:56:44.116,2026-02-04 18:56:40.030,-4085.776,60.030887603759766,0
2026-02-04 18:56:40.000,2026-02-04 18:56:50.000,2108,2026-02-04 18:56:44.133,2026-02-04 18:56:40.046,-4086.897,60.03152847290039,0
2026-02-04 18:56:40.000,2026-02-04 18:56:50.000,2108,2026-02-04 18:56:44.150,2026-02-04 18:56:40.062,-4087.446,60.03019714355469,0
2026-02-04 18:56:40.000,2026-02-04 18:56:50.000,2108,2026-02-04 18:56:44.166,2026-02-04 18:56:40.079,-4087.370,60.03200149536133,0
2026-02-04 18:56:40.000,2026-02-04 18:56:50.000,2108,2026-02-04 18:56:44.183,2026-02-04 18:56:40.095,-4087.423,60.033973693847656,0
2026-02-04 18:56:40.000,2026-02-04 18:56:50.000,2108,2026-02-04 18:56:44.200,2026-02-04 18:56:40.113,-4086.571,60.030826568603516,0
2026-02-04 18:56:40.000,2026-02-04 18:56:50.000,2108,2026-02-04 18:56:44.216,2026-02-04 18:56:40.129,-4086.915,60.030662536621094,0
2026-02-04 18:56:40.000,2026-02-04 18:56:50.000,2108,2026-02-04 18:56:44.233,2026-02-04 18:56:40.146,-4087.039,60.03286361694336,0
2026-02-04 18:56:40.000,2026-02-04 18:56:50.000,2108,2026-02-04 18:56:44.250,2026-02-04 18:56:40.162,-4087.450,60.033836364746094,0
2026-02-04 18:56:40.000,2026-02-04 18:56:50.000,2108,2026-02-04 18:56:44.266,2026-02-04 18:56:40.179,-4087.419,60.035587310791016,0
2026-02-04 18:56:40.000,2026-02-04 18:56:50.000,2108,2026-02-04 18:56:44.283,2026-02-04 18:56:40.196,-4086.521,60.03455352783203,0
2026-02-04 18:56:40.000,2026-02-04 18:56:50.000,2108,2026-02-04 18:56:44.300,2026-02-04 18:56:40.213,-4086.692,60.0319709777832,0
