utc_time,ppa,value,rule_id,rule
2026-01-22 20:00:15.323,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:00:15.323,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:00:15.323,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:00:15.332,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
2026-01-22 20:00:15.332,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.332,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:00:15.332,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:00:15.343,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
2026-01-22 20:00:15.343,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.344,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:00:15.344,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:00:15.354,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
2026-01-22 20:00:15.354,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.354,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:00:15.354,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:00:15.355,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:00:15.355,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:00:15.365,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:00:15.365,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:01:46.213,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.213,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.225,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.237,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.249,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.249,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.260,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.270,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.281,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.281,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.292,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.307,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.316,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:01:46.316,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:01:46.317,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.318,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.327,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:01:46.327,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:01:46.329,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
2026-01-22 20:01:46.329,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.338,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:01:46.338,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:01:46.339,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
2026-01-22 20:01:46.339,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.350,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
